gpu_type;manufacturer;gpu_db_name;gpu_name;generation;base_clock_mhz;boost_clock_mhz;architecture;foundry;process_size_nm;transistor_count_m;transistor_density_k_mm2;die_size_mm2;chip_package;release_date;bus_interface;memory_clock_mhz;memory_size_gb;memory_bus_bits;memory_bandwidth_gb_s;memory_type;shading_units;texture_mapping_units;render_output_processors;streaming_multiprocessors;tensor_cores;ray_tracing_cores;l1_cache_kb;l2_cache_mb;thermal_design_power_w;board_length_mm;board_width_mm;board_slot_width;suggested_psu_w;power_connectors;display_connectors;directx_major_version;directx_minor_version;opengl_major_version;opengl_minor_version;vulkan_major_version;vulkan_minor_version;opencl_major_version;opencl_minor_version;cuda_major_version;cuda_minor_version;shader_model_major_version;shader_model_minor_version;pixel_rate_gpixel_s;texture_rate_gtexel_s;half_float_performance_gflop_s;single_float_performance_gflop_s;double_float_performance_gflop_s;tpu_id;tpu_url;tensor_tflops;tensor_tflops_sparsity;release_year
NVIDIA A30;NVIDIA;A30 PCIe;GA100;Server Ampere(Axx);930.0;1440.0;Ampere;TSMC;7;54200.0;65599.99999999999;826.0;BGA-2743;2021-04-12;PCIe 4.0 x16;1215.0;24.0;3072;933.1;HBM2e;3584;224;96;56;224;0;192.0;24.0;165;267.0;112.0;Dual-slot;450;8-pin EPS;;;;;;;;3;0;8;0;;;138.2;322.6;10320.0;10320.0;5161.0;c3792;https://www.techpowerup.com/gpu-specs/a30-pcie.c3792;165;330;2021
NVIDIA H200;NVIDIA;H200 NVL;GH100;Server Hopper(Hxx);1365.0;1785.0;Hopper;TSMC;5;80000.0;98300.0;814.0;;2024-11-18;PCIe 5.0 x16;1593.0;141.0;6144;4890.0;HBM3e;16896;528;24;132;528;0;256.0;50.0;700;267.0;111.0;Dual-slot;1000;8-pin EPS;;;;;;;;3;0;9;0;;;42.84;942.5;241300.0;60320.0;30160.0;c4254;https://www.techpowerup.com/gpu-specs/h200-nvl.c4254;835;1670;2024
NVIDIA A100-SXM4-40GB;NVIDIA;A100 SXM4 40 GB;GA100;Server Ampere(Axx);1095.0;1410.0;Ampere;TSMC;7;54200.0;65599.99999999999;826.0;BGA-2743;2020-05-14;PCIe 4.0 x16;1215.0;40.0;5120;1560.0;HBM2e;6912;432;160;108;432;0;192.0;40.0;400;;;SXM Module;800;None;;;;;;;;3;0;8;0;;;225.6;609.1;77970.0;19490.0;9746.0;c3506;https://www.techpowerup.com/gpu-specs/a100-sxm4-40-gb.c3506;312;624;2020
NVIDIA L40S;NVIDIA;L40S;AD102;Server Ada(Lxx);1110.0;2520.0;Ada Lovelace;TSMC;5;76300.0;125300.0;609.0;;2022-10-13;PCIe 4.0 x16;2250.0;48.0;384;864.0;GDDR6;18176;568;192;142;568;142;128.0;48.0;350;267.0;111.0;Dual-slot;700;1x 16-pin;1x HDMI 2.1, 3x DisplayPort 1.4a;12.0;2.0;4.0;6.0;1.0;3.0;3;0;8;9;6.0;8.0;483.8;1431.4;91610.0;91610.0;1431.4;c4173;https://www.techpowerup.com/gpu-specs/l40s.c4173;362;733;2022
NVIDIA H100 PCIe;NVIDIA;H100 PCIe 80 GB;GH100;Server Hopper(Hxx);1095.0;1755.0;Hopper;TSMC;5;80000.0;98300.0;814.0;;2022-10-01;PCIe 5.0 x16;1593.0;80.0;5120;2040.0;HBM2e;14592;456;24;114;456;0;256.0;50.0;350;268.0;111.0;Dual-slot;750;1x 16-pin;;;;;;;;3;0;9;0;;;42.12;800.3;204900.0;51220.0;25610.0;c3899;https://www.techpowerup.com/gpu-specs/h100-pcie-80-gb.c3899;756;1513;2022
NVIDIA H100 NVL;NVIDIA;H100 NVL 94 GB;GH100;Server Hopper(Hxx);1080.0;1785.0;Hopper;TSMC;5;80000.0;98300.0;814.0;;2023-03-21;PCIe 5.0 x16;1310.0;94.0;6016;3940.0;HBM3;16896;528;24;132;528;0;256.0;50.0;400;267.0;111.0;Dual-slot;800;8-pin EPS;;;;;;;;3;0;9;0;;;42.84;942.5;241300.0;60320.0;30160.0;c4327;https://www.techpowerup.com/gpu-specs/h100-nvl-94-gb.c4327;835;1671;2023
Tesla V100-SXM2-32GB;NVIDIA;Tesla V100 SXM2 32 GB;GV100;Tesla Volta(Vxx);1290.0;1530.0;Volta;TSMC;12;21100.0;25900.0;815.0;;2018-03-27;PCIe 3.0 x16;877.0;32.0;4096;898.0;HBM2;5120;320;128;80;640;0;128.0;6.0;300;;;SXM Module;600;None;;12.0;1.0;4.0;6.0;1.0;3.0;3;0;7;0;6.0;8.0;195.8;489.6;31330.0;15670.0;7834.0;c3185;https://www.techpowerup.com/gpu-specs/tesla-v100-sxm2-32-gb.c3185;125;125;2018
NVIDIA L4;NVIDIA;L4;AD104;Server Ada(Lxx);795.0;2040.0;Ada Lovelace;TSMC;5;35800.0;121800.0;294.0;;2023-03-21;PCIe 4.0 x16;1563.0;24.0;192;300.1;GDDR6;7424;240;80;60;240;60;128.0;48.0;72;169.0;56.0;Single-slot;250;None;;12.0;2.0;4.0;6.0;1.0;3.0;3;0;8;9;6.0;8.0;163.2;489.6;30290.0;30290.0;473.3;c4091;https://www.techpowerup.com/gpu-specs/l4.c4091;121;242;2023
NVIDIA GeForce RTX 3090;NVIDIA;GeForce RTX 3090;GA102;GeForce 30;1395.0;1695.0;Ampere;Samsung;8;28300.0;45100.0;628.0;BGA-3328;2020-09-01;PCIe 4.0 x16;1219.0;24.0;384;936.2;GDDR6X;10496;328;112;82;328;82;128.0;6.0;350;336.0;140.0;Triple-slot;750;1x 12-pin;1x HDMI 2.1, 3x DisplayPort 1.4a;12.0;2.0;4.0;6.0;1.0;3.0;3;0;8;6;6.0;8.0;189.8;556.0;35580.0;35580.0;556.0;c3622;https://www.techpowerup.com/gpu-specs/geforce-rtx-3090.c3622;71;71;2020
Tesla T4;NVIDIA;Tesla T4;TU104;Tesla Turing(Txx);585.0;1590.0;Turing;TSMC;12;13600.0;25000.0;545.0;BGA-2228;2018-09-13;PCIe 3.0 x16;1250.0;16.0;256;320.0;GDDR6;2560;160;64;40;320;40;64.0;4.0;70;168.0;;Single-slot;250;None;;12.0;2.0;4.0;6.0;1.0;3.0;3;0;7;5;6.0;8.0;101.8;254.4;65129.99999999999;8141.0;254.4;c3316;https://www.techpowerup.com/gpu-specs/tesla-t4.c3316;65;65;2018
