model_name;model_upload_date;total_b_params;model_type;architectures;num_layers;hidden_size;num_attention_heads;num_key_value_heads;intermediate_size;vocab_size;max_sequence_length;attention_implementation;torch_dtype;rope_theta;pad_token_id;bos_token_id;eos_token_id;tie_word_embeddings;max_position_embeddings;num_hidden_layers;use_sliding_window;sliding_window;max_window_layers;hidden_act;initializer_range;rms_norm_eps;use_cache;rope_scaling;attention_dropout;layer_types;return_dict;output_hidden_states;torchscript;dtype;pruned_heads;chunk_size_feed_forward;is_encoder_decoder;is_decoder;cross_attention_hidden_size;add_cross_attention;tie_encoder_decoder;finetuning_task;id2label;label2id;task_specific_params;problem_type;tokenizer_class;prefix;sep_token_id;decoder_start_token_id;max_length;min_length;do_sample;early_stopping;num_beams;temperature;top_k;top_p;typical_p;repetition_penalty;length_penalty;no_repeat_ngram_size;encoder_no_repeat_ngram_size;bad_words_ids;num_return_sequences;output_scores;return_dict_in_generate;forced_bos_token_id;forced_eos_token_id;remove_invalid_values;exponential_decay_length_penalty;suppress_tokens;begin_suppress_tokens;num_beam_groups;diversity_penalty;_name_or_path;transformers_version;use_mrope;tf_legacy_loss;use_bfloat16;output_attentions;active_b_params;n_positions;n_embd;n_layer;n_head;n_inner;activation_function;resid_pdrop;embd_pdrop;attn_pdrop;layer_norm_epsilon;summary_type;summary_use_proj;summary_activation;summary_first_dropout;summary_proj_to_labels;scale_attn_weights;scale_attn_by_inverse_layer_idx;reorder_and_upcast_attn;n_ctx;head_dim;norm_eps;partial_rotary_factor;attention_bias;mlp_bias;kv_channels;pretraining_tp;clip_qkv;num_experts_per_tok;num_experts;output_router_logits;router_aux_loss_coef;norm_topk_prob;cache_implementation;hidden_activation;query_pre_attn_scalar;final_logit_softcapping;attn_logit_softcapping;lm_head_bias;num_local_experts;router_jitter_noise;input_jitter_noise;auto_map;expert_dropout;hidden_dropout;use_mambapy;state_size;conv_kernel;expand;use_bias;use_conv_bias;time_step_rank;time_step_scale;time_step_min;time_step_max;time_step_init_scheme;time_step_floor;rescale_prenorm_residual;residual_in_fp32;use_falcon_mambapy;mixer_rms_eps;embedding_multiplier;logits_scaling;residual_multiplier;attention_multiplier;transformers.js_config;original_max_position_embeddings;experts_per_token;initial_context_length;quantization_config;swiglu_limit;bias;attn_implementation;layer_norm_eps;qk_layernorm;position_embedding_type;rotary_dim;gradient_checkpointing;rotary;activation;text_config;vision_config;mm_tokens_per_image;boi_token_index;eoi_token_index;image_token_index;moe_intermediate_size;n_shared_experts;n_routed_experts;moe_layer_freq;first_k_dense_replace;scoring_func;aux_loss_alpha;seq_aux;bskcn_1;bskcn_2;bskcn_3;bskcn_4;bskcn_tv;decoder_sparse_step;shared_expert_intermediate_size;mlp_only_layers;qkv_bias;hybrid_override_pattern;mlp_hidden_act;num_logits_to_keep;use_mamba_kernels;n_groups;mamba_head_dim;ssm_state_size;mamba_num_heads;mamba_hidden_act;time_step_limit;mamba_proj_bias;chunk_size;moe_shared_expert_intermediate_size;routed_scaling_factor;n_group;topk_group;mamba_ssm_cache_dtype;attention_probs_dropout_prob;hidden_dropout_prob;rotary_pct;rotary_emb_base;classifier_dropout;use_parallel_residual
nvidia/AceMath-7B-Instruct;2025-01-17 12:57:51+00:00;7.0;qwen2;['Qwen2ForCausalLM'];28;3584;28.0;4.0;18944.0;152064;4096.0;default;N/A;10000.0;;151643.0;151643;FALSE;4096.0;28.0;FALSE;;28.0;silu;0.02;1E-06;TRUE;;0.0;['full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention'];TRUE;FALSE;FALSE;bfloat16;{};0;FALSE;FALSE;;FALSE;FALSE;;{0: 'LABEL_0', 1: 'LABEL_1'};{'LABEL_0': 0, 'LABEL_1': 1};;;;;;;20;0;FALSE;FALSE;1;1.0;50;1.0;1.0;1.0;1.0;0;0;;1;FALSE;FALSE;;;FALSE;;;;1;0.0;nvidia/AceMath-7B-Instruct;4.57.6;FALSE;FALSE;FALSE;FALSE;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
openai-community/gpt2;2024-02-19 10:57:45+00:00;0.124;gpt2;['GPT2LMHeadModel'];12;768;12.0;12.0;3072.0;50257;1024.0;default;N/A;;;50256.0;50256;TRUE;;;;;;;0.02;;TRUE;;;;TRUE;FALSE;FALSE;;{};0;FALSE;FALSE;;FALSE;FALSE;;{0: 'LABEL_0', 1: 'LABEL_1'};{'LABEL_0': 0, 'LABEL_1': 1};{'text-generation': {'do_sample': True, 'max_length': 50}};;;;;;20;0;FALSE;FALSE;1;1.0;50;1.0;1.0;1.0;1.0;0;0;;1;FALSE;FALSE;;;FALSE;;;;1;0.0;openai-community/gpt2;4.57.6;;FALSE;FALSE;FALSE;0.124;1024.0;768.0;12.0;12.0;;gelu_new;0.1;0.1;0.1;1E-05;cls_index;TRUE;;0.1;TRUE;TRUE;FALSE;FALSE;1024.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nvidia/Nemotron-Mini-4B-Instruct;2025-02-14 19:03:33+00:00;4.0;nemotron;['NemotronForCausalLM'];32;3072;24.0;8.0;9216.0;256000;4096.0;default;N/A;10000.0;;2.0;3;FALSE;4096.0;32.0;;;;relu2;0.0134;;TRUE;;0.0;;TRUE;FALSE;FALSE;bfloat16;{};0;FALSE;FALSE;;FALSE;FALSE;;{0: 'LABEL_0', 1: 'LABEL_1'};{'LABEL_0': 0, 'LABEL_1': 1};;;;;;;20;0;FALSE;FALSE;1;1.0;50;1.0;1.0;1.0;1.0;0;0;;1;FALSE;FALSE;;;FALSE;;;;1;0.0;nvidia/Nemotron-Mini-4B-Instruct;4.57.6;;FALSE;FALSE;FALSE;4.0;;;;;;;;;;;;;;;;;;;;128.0;1E-05;0.5;FALSE;FALSE;128.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-ai/Yi-1.5-9B-Chat;2024-06-26 10:41:03+00:00;9.0;llama;['LlamaForCausalLM'];48;4096;32.0;4.0;11008.0;64000;4096.0;default;N/A;5000000.0;0.0;1.0;2;FALSE;4096.0;48.0;;;;silu;0.02;1E-06;FALSE;;0.0;;TRUE;FALSE;FALSE;bfloat16;{};0;FALSE;FALSE;;FALSE;FALSE;;{0: 'LABEL_0', 1: 'LABEL_1'};{'LABEL_0': 0, 'LABEL_1': 1};;;;;;;20;0;FALSE;FALSE;1;1.0;50;1.0;1.0;1.0;1.0;0;0;;1;FALSE;FALSE;;;FALSE;;;;1;0.0;01-ai/Yi-1.5-9B-Chat;4.57.6;;FALSE;FALSE;FALSE;9.0;;;;;;;;;;;;;;;;;;;;128.0;;;FALSE;FALSE;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Qwen/Qwen2.5-0.5B-Instruct;2024-09-25 12:32:56+00:00;0.49;qwen2;['Qwen2ForCausalLM'];24;896;14.0;2.0;4864.0;151936;32768.0;default;N/A;1000000.0;;151643.0;151645;TRUE;32768.0;24.0;FALSE;;21.0;silu;0.02;1E-06;TRUE;;0.0;['full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention', 'full_attention'];TRUE;FALSE;FALSE;bfloat16;{};0;FALSE;FALSE;;FALSE;FALSE;;{0: 'LABEL_0', 1: 'LABEL_1'};{'LABEL_0': 0, 'LABEL_1': 1};;;;;;;20;0;FALSE;FALSE;1;1.0;50;1.0;1.0;1.0;1.0;0;0;;1;FALSE;FALSE;;;FALSE;;;;1;0.0;Qwen/Qwen2.5-0.5B-Instruct;4.57.6;;FALSE;FALSE;FALSE;0.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
allenai/OLMo-2-1124-7B-Instruct;2025-01-06 01:02:35+00:00;7.0;olmo2;['Olmo2ForCausalLM'];32;4096;32.0;32.0;11008.0;100352;4096.0;default;N/A;500000.0;100277.0;;100257;FALSE;4096.0;32.0;;;;silu;0.02;1E-06;FALSE;;0.0;;TRUE;FALSE;FALSE;bfloat16;{};0;FALSE;FALSE;;FALSE;FALSE;;{0: 'LABEL_0', 1: 'LABEL_1'};{'LABEL_0': 0, 'LABEL_1': 1};;;;;;;20;0;FALSE;FALSE;1;1.0;50;1.0;1.0;1.0;1.0;0;0;;1;FALSE;FALSE;;;FALSE;;;;1;0.0;allenai/OLMo-2-1124-7B-Instruct;4.57.6;;FALSE;FALSE;FALSE;7.0;;;;;;;;;;;;;;;;;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nvidia/Llama-3.1-Minitron-4B-Width-Base;2025-02-14 00:25:16+00:00;5.0;llama;['LlamaForCausalLM'];32;3072;32.0;8.0;9216.0;128256;131072.0;default;N/A;500000.0;;128000.0;128001;FALSE;131072.0;32.0;;;;silu;0.02;1E-05;TRUE;{'factor': 8.0, 'high_freq_factor': 4.0, 'low_freq_factor': 1.0, 'original_max_position_embeddings': 8192, 'rope_type': 'llama3'};0.0;;TRUE;FALSE;FALSE;bfloat16;{};0;FALSE;FALSE;;FALSE;FALSE;;{0: 'LABEL_0', 1: 'LABEL_1'};{'LABEL_0': 0, 'LABEL_1': 1};;;;;;;20;0;FALSE;FALSE;1;1.0;50;1.0;1.0;1.0;1.0;0;0;;1;FALSE;FALSE;;;FALSE;;;;1;0.0;nvidia/Llama-3.1-Minitron-4B-Width-Base;4.57.6;;FALSE;FALSE;FALSE;5.0;;;;;;;;;;;;;;;;;;;;128.0;;;FALSE;FALSE;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
allenai/OLMoE-1B-7B-0924;2024-10-19 04:24:22+00:00;7.0;olmoe;['OlmoeForCausalLM'];16;2048;16.0;16.0;1024.0;50304;4096.0;default;N/A;10000.0;1.0;;50279;FALSE;4096.0;16.0;;;;silu;0.02;1E-05;TRUE;;0.0;;TRUE;FALSE;FALSE;bfloat16;{};0;FALSE;FALSE;;FALSE;FALSE;;{0: 'LABEL_0', 1: 'LABEL_1'};{'LABEL_0': 0, 'LABEL_1': 1};;;;;;;20;0;FALSE;FALSE;1;1.0;50;1.0;1.0;1.0;1.0;0;0;;1;FALSE;FALSE;;;FALSE;;;;1;0.0;allenai/OLMoE-1B-7B-0924;4.57.6;;FALSE;FALSE;FALSE;1.0;;;;;;;;;;;;;;;;;;;;;;;FALSE;;;;;8.0;64.0;FALSE;0.01;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
meta-llama/Llama-3.2-3B-Instruct;2024-10-24 15:07:29+00:00;3.21;llama;['LlamaForCausalLM'];28;3072;24.0;8.0;8192.0;128256;131072.0;default;N/A;500000.0;;128000.0;[128001, 128008, 128009];TRUE;131072.0;28.0;;;;silu;0.02;1E-05;TRUE;{'factor': 32.0, 'high_freq_factor': 4.0, 'low_freq_factor': 1.0, 'original_max_position_embeddings': 8192, 'rope_type': 'llama3'};0.0;;TRUE;FALSE;FALSE;bfloat16;{};0;FALSE;FALSE;;FALSE;FALSE;;{0: 'LABEL_0', 1: 'LABEL_1'};{'LABEL_0': 0, 'LABEL_1': 1};;;;;;;20;0;FALSE;FALSE;1;1.0;50;1.0;1.0;1.0;1.0;0;0;;1;FALSE;FALSE;;;FALSE;;;;1;0.0;meta-llama/Llama-3.2-3B-Instruct;4.57.6;;FALSE;FALSE;FALSE;3.21;;;;;;;;;;;;;;;;;;;;128.0;;;FALSE;FALSE;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
upstage/SOLAR-10.7B-Instruct-v1.0;2024-09-10 21:44:55+00:00;10.7;llama;['LlamaForCausalLM'];48;4096;32.0;8.0;14336.0;32000;4096.0;default;N/A;10000.0;2.0;1.0;2;FALSE;4096.0;48.0;;;;silu;0.02;1E-05;TRUE;;0.0;;TRUE;FALSE;FALSE;float16;{};0;FALSE;FALSE;;FALSE;FALSE;;{0: 'LABEL_0', 1: 'LABEL_1'};{'LABEL_0': 0, 'LABEL_1': 1};;;;;;;20;0;FALSE;FALSE;1;1.0;50;1.0;1.0;1.0;1.0;0;0;;1;FALSE;FALSE;;;FALSE;;;;1;0.0;upstage/SOLAR-10.7B-Instruct-v1.0;4.57.6;;FALSE;FALSE;FALSE;10.7;;;;;;;;;;;;;;;;;;;;128.0;;;FALSE;FALSE;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
